-1,100,Proc,,Anesth salivary gland,Anesth salivary gland,,,100,HCPCS
-1,190,Proc,,Anesth face/skull bone surg,Anesth face/skull bone surg,,,190,HCPCS
-1,218,Proc,,Anesth special head surgery,Anesth special head surgery,,,218,HCPCS
-1,406,Proc,,Anesth surgery of breast,Anesth surgery of breast,,,406,HCPCS
-1,500,Proc,,Anesth esophageal surgery,Anesth esophageal surgery,,,500,HCPCS
-1,540,Proc,,Anesth chest surgery,Anesth chest surgery,,,540,HCPCS
-1,563,Proc,,Anesth heart surg w/arrest,Anesth heart surg w/arrest,,,563,HCPCS
-1,567,Proc,,Anesth cabg w/pump,Anesth cabg w/pump,,,567,HCPCS
-1,770,Proc,,Anesth blood vessel repair,Anesth blood vessel repair,,,770,HCPCS
-1,0078T,Proc,,Endovasc aort repr w/device,Endovasc aort repr w/device,,,0078T,HCPCS
-1,880,Proc,,Anesth abdomen vessel surg,Anesth abdomen vessel surg,,,880,HCPCS
-1,938,Proc,,Anesth insert penis device,Anesth insert penis device,,,938,HCPCS
-1,1112,Proc,,Anesth bone aspirate/bx,Anesth bone aspirate/bx,,,1112,HCPCS
-1,1202,Proc,,Anesth arthroscopy of hip,Anesth arthroscopy of hip,,,1202,HCPCS
-1,1215,Proc,,Anesth revise hip repair,Anesth revise hip repair,,,1215,HCPCS
-1,1260,Proc,,Anesth upper leg veins surg,Anesth upper leg veins surg,,,1260,HCPCS
-1,1272,Proc,,Anesth femoral artery surg,Anesth femoral artery surg,,,1272,HCPCS
-1,1610,Proc,,Anesth surgery of shoulder,Anesth surgery of shoulder,,,1610,HCPCS
-1,0171T,Proc,,Lumbar spine proces distract,Lumbar spine proces distract,,,0171T,HCPCS
-1,1740,Proc,,Anesth upper arm surgery,Anesth upper arm surgery,,,1740,HCPCS
-1,1780,Proc,,Anesth upper arm vein surg,Anesth upper arm vein surg,,,1780,HCPCS
-1,1916,Proc,,Anesth dx arteriography,Anesth dx arteriography,,,1916,HCPCS
-1,1926,Proc,,Anes tx interv rad hrt/cran,Anes tx interv rad hrt/cran,,,1926,HCPCS
-1,0201T,Proc,,Perq sacral augmt bilat inj,Perq sacral augmt bilat inj,,,0201T,HCPCS
-1,0206T,Proc,,Remote algorithm analys ecg,Remote algorithm analys ecg,,,0206T,HCPCS
-1,0213T,Proc,,Njx paravert w/us cer/thor,Njx paravert w/us cer/thor,,,0213T,HCPCS
-1,0216T,Proc,,Njx paravert w/us lumb/sac,Njx paravert w/us lumb/sac,,,0216T,HCPCS
